source_object_class_name,omb_object_class_code,omb_object_class_name,project_object_class_name,sankey_display_label,obba_display_label,personnel_rollup_component,source_label_matches_omb,source_standard,mapping_note
Other goods and services from Federal sources,25.3,Other goods and services from Federal sources,Other goods and services from Federal sources,Other goods and services (Federal),Other federal goods/services,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A","Project retains the object class, while figure scripts use shorter publication labels."
Operation and maintenance of facilities,25.4,Operation and maintenance of facilities,Operation and maintenance of facilities,Facilities operations and maintenance,Facilities operations,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A","Project retains the object class, while figure scripts use shorter publication labels."
Research and development contracts,25.5,Research and development contracts,Research and development contracts,Research and development contracts,Research and development contracts,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Medical care,25.6,Medical care,Medical care,Medical care,Medical care,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Operation and maintenance of equipment,25.7,Operation and maintenance of equipment,Operation and maintenance of equipment,Operation and maintenance of equipment,Operation and maintenance of equipment,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Subsistence and support of persons,25.8,Subsistence and support of persons,Subsistence and support of persons,Subsistence and support of persons,Subsistence and support of persons,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Supplies and materials,26.0,Supplies and materials,Supplies and materials,Supplies and materials,Supplies and materials,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Equipment,31.0,Equipment,Equipment,Equipment,Equipment,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Land and structures,32.0,Land and structures,Land and structures,Land and structures,Land and structures,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
"Grants, subsidies, and contributions",41.0,"Grants, subsidies, and contributions","Grants, subsidies, and contributions","Grants, subsidies, and contributions","Grants, subsidies, and contributions",no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Insurance claims and indemnities,42.0,"Insurance, claims, and indemnities",Insurance claims and indemnities,Insurance claims and indemnities,Insurance claims and indemnities,no,no,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Refunds,44.0,Refunds,Refunds,Refunds,Refunds,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Unvouchered,91.0,Unvouchered,Unvouchered,Unvouchered,Unvouchered,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Financial transfers,94.0,Financial transfers,Financial transfers,Financial transfers,Financial transfers,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Unknown,,,Unknown,Unknown,Unknown,no,,,"Source CSV contains an unknown or blank object-class label, so the pipeline retains an Unknown bucket."
