agency,source_bucket,object_class_name,amount,snapshot_month,note
ICE,OBBA,All other activities,137539407.91,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - current year BA,Personnel expenses,13933825154.80,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - current year BA,Land and structures,51166671.61,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - current year BA,Other services from non-Federal sources,2555350112.28,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - current year BA,Equipment,750347454.54,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - current year BA,Other goods and services from Federal sources,485831913.27,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - current year BA,All other activities,2489956928.10,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - carryover BA,Personnel expenses,16459326.27,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - carryover BA,Land and structures,1052543524.02,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - carryover BA,Other services from non-Federal sources,278626374.89,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - carryover BA,Equipment,119001348.06,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - carryover BA,Other goods and services from Federal sources,37587145.19,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Annual appropriations - carryover BA,All other activities,60434472.89,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Fee revenue,Personnel expenses,2595954849.96,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Fee revenue,Land and structures,7236467.77,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Fee revenue,Other services from non-Federal sources,230141181.96,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Fee revenue,Equipment,51287218.19,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Fee revenue,Other goods and services from Federal sources,65908726.43,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,Fee revenue,All other activities,102574061.24,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,OBBA,Personnel expenses,373479958.25,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,OBBA,Land and structures,9307855480.55,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,OBBA,Other services from non-Federal sources,219502244.18,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,OBBA,Equipment,775291335.78,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,OBBA,Other goods and services from Federal sources,576301751.93,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
CBP,OBBA,All other activities,32225438.76,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
